,AugmTitle
82,"'Effects of fusariotoxins in the equine species', '… effects of fusariotoxins and on a possible relationship between mycotoxins and equine colic. \n… However, the cause-effect relationship of mycotoxins and equine colic remains unclear …'"
83,"'Systematic review of risk factors for equine colic', 'Reasons for performing the study There are several epidemiological studies that have \nreported on risk factors for colic, this data has not been systematically reviewed. Objectives To …'"
84,"'Equine colic: seventy-six cases resulting from incarceration of the large colon by the suspensory ligament of the spleen', 'Incarceration of the large colon by the suspensory ligament of the spleen was diagnosed and \nsurgically corrected on exploratory celiotomy in 76 horses exhibiting abdominal pain. The …'"
85,"'Choice of non-steroidal anti-inflammatory drugs in equine colic', 'While non-steroidal anti-inflammatory drugs (NSAIDs) can be used to manage abdominal \ndiscomfort in horses, they also are often a valid diagnostic tool to aid decision making around …'"
86,"'Histologic findings in the gastrointestinal tract of horses with colic.', '… of lesion grades of 2 or higher for nonsurvivability (90%) indicates that intestinal biopsy \nmay have prognostic value in the postsurgical evaluation and management of equine colic. …'"
87,"'[PDF][PDF] A retrospective study of equine colic risk factors in Tabriz area in Iran', 'A retrospective study was conducted on 10 horse farms to identify risk factors for equine colic \nfor 1 year in Tabriz area in Iran. The association between colic and farm or individual horse …'"
88,"'The role of tumour necrosis factor in the pathogenesis of equine colic', '… involved in the pathogenesis of equine colic (Morris, Moore and … in the pathogenesis of \nequine colic will be presented. … Thus, the morbid sequelae that accompany equine colic may be …'"
89,"'Clinical and pathological examination of mycotoxicosis as an associated risk factor for colic in equine', '… the occurrence of mycotoxicosis and equine colic. The farms … The risk factors that associated \nwith equine colic have been … mycotoxicosis and equine colic in two equine farms in Egypt. …'"
90,"'The role of nutrition in colic', '… A prospective study of equine colic incidence and mortality … A prospective study of equine \ncolic risk factors … A farm-based prospective study of equine colic incidence and associated risk …'"
91,"'[BOOK][B] Epidemiological and microbiome studies of equine colic', 'Colic is an important cause of death in managed horse populations and is a health issue of \ngreat concern to horse owners. Epidemiological studies that have investigated risk factors for …'"
92,"'Long‐term survival of equine surgical colic cases. Part 2: modelling postoperative survival', 'Colic surgery is a frequently performed operation with high postoperative mortality. This study \nwas undertaken to identify variables associated with decreased postoperative survival. We …'"
93,"'[PDF][PDF] Profile and distribution of equine colic syndrome in three military units in Rio de Janeiro, Brazil', 'This research aimed to verify the profile and distribution of colic syndrome in horses of three \nmilitary units in Rio de Janeiro, Brazil, which were Regimento Escola de Cavalaria (REsC), …'"
94,"'A study on clinico-biochemical evaluation in equine colic patients', 'The aim of this study was to compare the clinical and biochemical parameters in colic horses \n(n=20) with that of healthy control animals (n=10). Further, the measured parameters were …'"
95,"'Serum amyloid A, haptoglobin, and ferritin in horses with colic: association with common clinicopathological variables and short-term outcome', '… The present study confirms the high prevalence of an APR in equine colic, and highlights \nthe usefulness of different APPs to better evaluate colic cases upon admission. APP …'"
96,"'Equine Colic II.', 'We may also use digital footprint connection information such as your IP address and other \ntechnical identifiers, to collect usage data, click stream data, and information about the pages …'"
97,"'[CITATION][C] Study on the diagnosis of the common real equine colic with a computer system', ''"
98,"'Presurgical care of the equine colic patient.', 'The pathophysiology, diagnostic evaluation and medical management of the horse with intestinal obstruction is outlined. Emphasis is on early and accurate determination of the\xa0…'"
99,"""What really causes colic in horses? Epidemiology's role in elucidating the ultimate multi-factorial disease."", '… This is a comment on ""Prospective study of equine colic incidence and mortality."" Equine \nVet J. … A farm-based prospective study of equine colic incidence and associated risk factors. …'"
100,"'Risk factors of colic in horses in Austria', '… The purpose of this study was to determine possible alterable and non-alterable risk factors \nof equine colic in Austria. The investigated parameters were obtained from hospital medical …'"
101,"'Surgical treatment of colic results in 181 horses', '… Previous studies of equine colic have pointed out the importance of early surgical intervention \n… Mortality rates and associated factors in equine colic operations: a retrospective study of …'"
102,"'[HTML][HTML] MMP-9 Concentration in Peritoneal Fluid Is a Valuable Biomarker Associated with Endotoxemia in Equine Colic', '… value for sepsis and endotoxemia in equine colic. The evaluation of peritoneal fluid seems \n… as representative of our hospital population of equine colic. The sepsis scoring was modified …'"
103,"'Determination of a gravity and shock score for prognosis in equine surgical colic', '… Prospective studies of equine colic point to incidences of 10 colic cases per 100 horse-years \nin the study of 29 and even 26 cases in another study by 30. The proportion of mortality due …'"
104,"'[PDF][PDF] Equine Colic', 'The term “colic” can cause fear in many horse owners. For the novice horse owner, colic is \noften a term that is poorly understood. Colic can be caused by many things but is often a …'"
105,"'[BOOK][B] A farm-based prospective study for equine colic risk factors and risk associated events', 'Improved definition of risk factors for equine colic is necessary to develop effective interventions \nto reduce colic incidence. A one-year prospective study was conducted to estimate colic …'"
106,"'Development and validation of an equine colic scorecard: The Morris Animal Foundation equine colic survey.', 'We may also use digital footprint connection information such as your IP address and other \ntechnical identifiers, to collect usage data, click stream data, and information about the pages …'"
107,"'Epidemiological clues to preventing colic', '… In: Proceedings of the Seventh International Equine Colic Research Symposium, p. 75. … \nAssociation of age, sex and breed factors in acute equine colic: A retrospective study of 320 …'"
108,"'[DOC][DOC] Equine sand colic', '… A multicenter retrospective study of risk factors in 2,385 cases of equine colic at universities \nreported a total incidence of 56 (2.3%) cases of sand colic over a 5-year period. Thus the …'"
109,"'Haemostatic abnormalities in horses with colic—their prognostic value', '… The results of this study indicate that coagulation abnormalities occur with high frequency \nin equine colic cases. In order of prevalence, the major abnormalities were: increased SFM; …'"
110,"'Return to use and performance following exploratory celiotomy for colic in horses: 195 cases (2003–2010)', '… Data were retrieved and reviewed from the NCSU Equine Colic Database for 372 horses \nthat recovered from exploratory celiotomy at NCSU for acute colic, from June 2003 to March …'"
111,"'Colic: diagnosis, surgical decision, and pre-operative management', '… The veterinarian presented with an equine colic faces a true emergency and a diagnostic \nchallenge. Through the combination of history, physical examination, and diagnostic …'"
112,"'[BOOK][B] The equine acute abdomen', 'Written and edited by leading experts on equine digestive diseases, The Equine Acute \nAbdomen, Third Editionis the preeminent text on diagnosing and treating acute abdominal …'"
113,"'Analysis of peritoneal fluid as a diagnostic aid in grass sickness (equine dysautonomia).', '… The analysis of peritoneal fluid is of value in the differential diagnosis of equine colic but its \ncharacteristics have not been evaluated in grass sickness. Peritoneal fluid was collected from …'"
114,"'Use of clinical pathology in evaluation of horses with colic', '… Assessment of equine colic cases addresses three main areas: (1) prognosis, usually … \nThere is a large body of literature on the clinical assessment of equine colic cases, which is well …'"
115,"'[CITATION][C] Colic incidence and mortality', ''"
116,"'Investigations into the incidence of field colic', 'This investigation was undertaken to compare the accuracy of different methods of \ncollecting data on the incidence of colic. The results of an historical cohort technique and a …'"
117,"'Ultrasonography of the equine abdomen: findings in the colic patient', '… After a year working in mixed practice, she returned to the RVC where she developed an \ninterest in equine colic. She completed an equine internship and a PhD in equine anaesthesia, …'"
118,"'Correlation between capillary oxygen saturation and small intestinal wall thickness in the equine colic patient', 'The surgical evaluation of haemorrhagic infarcted intestine and the decision for or against \nbowel resection require a lot of experience and are subjective. The aim of this prospective, …'"
119,"'Field trial evaluation of detomidine as a sedative and analgesic in horses with colic', '… This report covers 234 cases of equine colic. Mares represented 53. per cent of cases while \n… describe several clinical parameters common to equine colic. The criteria for evaluating the …'"
120,"'[PDF][PDF] Equine colic caused by neoplasia', 'Neoplasia can cause equine colic that varies in severity and is either chronic or acute. Pain \ncan be caused in several ways: the size and weight of the tumour itself can cause pain, …'"
121,"'The role of equine strongyles in the pathogenesis of colic and current options for prophylaxis', '… Disturbances of gastrointestinal motility are generally regarded as a feature of equine colic \nand several studies have reported altered intestinal motility following infection with either S. …'"
122,"'Management and horse‐level risk factors for recurrent colic in the UK general equine practice population', '… There is little evidence on the effect of feeding probiotics on equine colic. Although not \ndirectly comparable to this study (where a variety of different probiotics were used), one study …'"
123,"'Determining the Relationship Between Barometric Pressure Changes and the Incidence of Equine Colic', '… 1.1 Equine Colic … barometric pressure link to equine colic is briefly mentioned in many \npublications, … depressions are associated with the incidence of equine colic because they are an …'"
124,"'Causes of gastrointestinal colic at an equine referral hospital in South Africa (1998-2007)', '… Archer DC, Pinchbeck GL, Proudman CJ, Clough HE 2006 Is equine colic seasonal? \nNovel application of a model based approach. BMC Veterinary Research 2: 27–37 4. …'"
125,"'In equine grass sickness, serum amyloid A and fibrinogen are elevated, and can aid differential diagnosis from non‐inflammatory causes of colic', '… Elevations in SAA have previously been associated with inflammatory lesions in cases of \nequine colic (Vandenplas and others 2005) and the acute inflammatory response identified in …'"
126,"'[HTML][HTML] Detecting early kidney damage in horses with colic by measuring matrix metalloproteinase-9 and-2, other enzymes, urinary glucose and total proteins', '… In severe equine colic the release of endotoxins is presumed to happen, but to our \nknowledge there are no studies on effects of endotoxins on equine kidneys. The routine use of …'"
127,"'Parasitism and colic', '… The precise role of A perfoliata in equine colic remains unknown, and elucidation likely \nmust await the development of a successful model for inducing artificial tapeworm infections in …'"
128,"'The John Hickman memorial lecture: colic by numbers', '… The differences among studies with respect to the association of parasite control and \nequine colic is an example of the aforementioned conflicting results that can occur among …'"
129,"'Retrospective study of mortality rates and prognostic indicators of equine colic in Korea', '… Abstract : Equine colic is a major concern in equine industry … prognostic indicators for mortality \nof equine colic in Korea. The … factors and prognosis of equine colic was not valid but high …'"
130,"'Use of newly developed assays for protein C and plasminogen in horses with signs of colic.', '… Low protein C content or low plasminogen activity, or both, may be useful as predictors for \noutcome and for these specific complications of equine colic.(ABSTRACT TRUNCATED AT …'"
131,"""Colic prevention to avoid colic surgery: a surgeon's perspective"", 'Management factors associated with colic, particularly related to stall confinement and \nnutrition, have been linked to alterations in gastrointestinal mucosal transport, motility, and …'"
132,"'Surgical complications of colic surgery', 'Colic is one of the most common and challenging problems that equine practitioners encounter. \nAlthough the majority of horses with colic can be treated with medical management, up …'"
133,"'[PDF][PDF] Comparison of regression methods, symbolic induction methods and neural networks in morbidity diagnosis and mortality prediction in equine gastrointestinal\xa0…', '… This paper empirically compares six classi er induction algorithms on the diagnosis of \nequine colic and the prediction of its mortality. The classication is based on simultaneously …'"
134,"'Age-Dependent Intestinal Repair: Implications for Foals with Severe Colic', '… Equine colic places a substantial financial burden on horse owners and the equine industry \neach year. Equine veterinary research is focused on preventing colic on the farm whenever …'"
135,"'Management of the surgical equine colic patient following hospital discharge', '… Surgical treatment is required in around nine per cent of equine colic cases seen in first … \nSUCCESSFUL surgical treatment of equine colic depends on a number of factors including …'"
136,"'Evaluation of the colic in horses: decision for referral', '… Development of a colic severity score for predicting the outcome of equine colic. … \nEvaluation of peritoneal fluid lactate as a marker of intestinal ischaemia in equine colic. …'"
137,"'Colic in equine neonates: 137 cases (2000–2010)', 'Objective —To document causes of colic in equine neonates, evaluate clinical features of \nneonates managed medically versus surgically, determine short- and long-term survival rates …'"
138,"'[HTML][HTML] Pathological changes caused by Anoplocephala perfoliata in the equine ileocecal junction', '… Previously regarded as a non-pathogenic tapeworm, Anoplocephala perfoliata has been \nrecently associated with equine colic. In this study, pathological changes related to A. perfoliata …'"
139,"'Equine tapeworm infections: Disease, diagnosis and control', '… perfoliata infection and certain types of equine colic, although some discrepancy exists \nbetween studies. Tapeworm surveillance and control should be considered as part of the overall …'"
140,"'Transrectal decompression as a new approach for treatment of large intestinal tympany in horses with colic: preliminary results', '… In this article we describe and evaluate a new approach for decompression of large intestinal \ntympany in equine colic patients using transrectal puncture. We evaluated horses showing …'"
141,"'Equine gastrointestinal motility research: where we are and where we need to go', '… Equine gastrointestinal motility is a central issue in cases of equine colic, post operative \nconvalescence and alimentary conditions encountered in practice. There are significant …'"
142,"'[HTML][HTML] Short-term survival and mortality rates in a retrospective study of colic in 1588 Danish horses', '… In conclusion, this retrospective study of equine colic outcomes demonstrates that short-term \nsurvival rates were biased by the prevalence of euthanasia, and thus that it is difficult to use …'"
143,"'Equine endotoxemia: pathomorphological aspects of endotoxin‐induced damage in equine mesenteric arteries', '… Each injection produced results similar to those of clinical cases of equine colic with \nobstructive nature of the loop of bowel: diarrhoea within 2 h after administration, followed by …'"
144,"""Owners' Knowledge and Approaches to Colic in Working Equids in Honduras"", '… of working equids through obtaining a baseline understanding of equine colic or ‘abdominal \npain’ in the … Areas for improving education on equine colic were highlighted in this study. …'"
