Title,TruncAbstr,AugmTitle,Info
[HTML][HTML] Is equine colic seasonal? Novel application of a model based approach,"… equine colic. This model provides a useful means of investigating temporal patterns in equine 
colic, … uses time-series methods of analysis to explore seasonal patterns in equine colic. …","('[HTML][HTML] Is equine colic seasonal? Novel application of a model based approach', '… equine colic. This model provides a useful means of investigating temporal patterns in equine \ncolic, … uses time-series methods of analysis to explore seasonal patterns in equine colic. …')","DC Archer, GL Pinchbeck… - BMC veterinary …, 2006 - bmcvetres.biomedcentral.com"
Prognosis in equine colic patients using multivariable analysis.,"… Multivariable models can also be utilized in clinical prediction; in this study they were used 
to predict prognosis of equine colic cases. Previous multivariable models formulated for use …","('Prognosis in equine colic patients using multivariable analysis.', '… Multivariable models can also be utilized in clinical prediction; in this study they were used \nto predict prognosis of equine colic cases. Previous multivariable models formulated for use …')","MJ Reeves, CR Curtis, MD Salman… - Canadian Journal of …, 1989 - ncbi.nlm.nih.gov"
Pre-operative and anaesthesia-related risk factors for mortality in equine colic cases,"… We conclude that cardiovascular parameters (PCV and heart rate) and degree of pain 
are associated with intra-operative death in our equine colic population. Reduced long-term …","('Pre-operative and anaesthesia-related risk factors for mortality in equine colic cases', '… We conclude that cardiovascular parameters (PCV and heart rate) and degree of pain \nare associated with intra-operative death in our equine colic population. Reduced long-term …')","CJ Proudman, AHA Dugdale, JM Senior… - The veterinary …, 2006 - Elsevier"
Are tapeworms associated with equine colic? A case control study,"… The clearer understanding of other aetiological factors in equine colic may demand … 
The importance of tapeworms in the aetiology of equine colic must be kept in perspective. '…","('Are tapeworms associated with equine colic? A case control study', ""… The clearer understanding of other aetiological factors in equine colic may demand … \nThe importance of tapeworms in the aetiology of equine colic must be kept in perspective. '…"")","CJ Proudman, GB Edwards - Equine Veterinary Journal, 1993 - Wiley Online Library"
Evaluation of peritoneal fluid lactate as a marker of intestinal ischaemia in equine colic,"… Elevated serum glucose has been described in the initial phases of endotoxaemia and 
glucose values >13.9 mmol/l have been associated with poor prognosis in equine colic. …","('Evaluation of peritoneal fluid lactate as a marker of intestinal ischaemia in equine colic', '… Elevated serum glucose has been described in the initial phases of endotoxaemia and \nglucose values >13.9 mmol/l have been associated with poor prognosis in equine colic. …')","KM Latson, JE Nieto, PM Beldomenico… - Equine veterinary …, 2005 - Wiley Online Library"
Study of variables commonly used in examination of equine colic cases to assess prognostic value,"In a retrospective study, the prognostic value and individual merit of seven variables, used 
in routine examination of colic cases, were tested. The following variables proved to be …","('Study of variables commonly used in examination of equine colic cases to assess prognostic value', 'In a retrospective study, the prognostic value and individual merit of seven variables, used \nin routine examination of colic cases, were tested. The following variables proved to be …')","A Puotunen‐Reinert - Equine veterinary journal, 1986 - Wiley Online Library"
Hemostatic abnormalities in equine colic.,"Hemostatic profiles were determined in 30 horses with clinical colic. Blood samples were 
obtained at the time of the animal's admission, and the following hemostatic tests were done: …","('Hemostatic abnormalities in equine colic.', ""Hemostatic profiles were determined in 30 horses with clinical colic. Blood samples were \nobtained at the time of the animal's admission, and the following hemostatic tests were done: …"")","IB Johnstone, S Crane - American journal of veterinary research, 1986 - europepmc.org"
[PDF][PDF] Equine colic,"Colic, defined as any abdominal pain, has resulted in the death of horses throughout 
recorded history. The earliest treatments may have been acupuncture. The use of drugs for …","('[PDF][PDF] Equine colic', 'Colic, defined as any abdominal pain, has resulted in the death of horses throughout \nrecorded history. The earliest treatments may have been acupuncture. The use of drugs for …')","NA White - Proc. Amer. Assoc. Equine Practnr, 2006 - Citeseer"
Equine colic: a review of the equine hindgut and colic,"Colic is the major cause of morbidity and mortality, premature deaths, and is the number one 
health concern in horses. To increase the quality of life for horses, it is vital to understand …","('Equine colic: a review of the equine hindgut and colic', 'Colic is the major cause of morbidity and mortality, premature deaths, and is the number one \nhealth concern in horses. To increase the quality of life for horses, it is vital to understand …')","SD Bland - Veterinary Science Development, 2016 - pagepress.org"
[HTML][HTML] Surgical treatment of equine colic-a retrospective study of 297 surgeries in Norway 2005–2011,"… The majority of equine colic episodes resolve spontaneously or after medical treatment. On 
the other hand, displacements and especially strangulating lesions might prove fatal without …","('[HTML][HTML] Surgical treatment of equine colic-a retrospective study of 297 surgeries in Norway 2005–2011', '… The majority of equine colic episodes resolve spontaneously or after medical treatment. On \nthe other hand, displacements and especially strangulating lesions might prove fatal without …')","BH Wormstrand, CF Ihler, R Diesen… - Acta Veterinaria …, 2014 - Springer"
Laparotomy in equine colic—a report of thirteen clinical cases,"A report of 13 unselected clinical cases of colic in horses which were submitted to laparotomy 
is presented, together with one case of experimental end‐to‐side anastomosis of the ileum …","('Laparotomy in equine colic—a report of thirteen clinical cases', 'A report of 13 unselected clinical cases of colic in horses which were submitted to laparotomy \nis presented, together with one case of experimental end‐to‐side anastomosis of the ileum …')","TA Mason, DE Johnston, CE Wallace… - Australian veterinary …, 1970 - Wiley Online Library"
"Comparison of detomidine, butorphanol, flunixin meglumine and xylazine in clinical cases of equine colic","Detomidine hydrochloride, butorphanol tartrate, flunixin meglumine and xylazine hydrochloride 
were evaluated in a blind multi‐centre clinical trial in 152 horses with abdominal pain. …","('Comparison of detomidine, butorphanol, flunixin meglumine and xylazine in clinical cases of equine colic', 'Detomidine hydrochloride, butorphanol tartrate, flunixin meglumine and xylazine hydrochloride \nwere evaluated in a blind multi‐centre clinical trial in 152 horses with abdominal pain. …')","W Jochle, JN Moore, J Brown, GJ Baker… - Equine Veterinary …, 1989 - Wiley Online Library"
A farm-based prospective study of equine colic incidence and associated risk factors,"Abdominal pain (colic) in the horse is one of the most acute problems facing equine practitioners. 
Several causes and risk factors are associated with colic. The current study evaluated …","('A farm-based prospective study of equine colic incidence and associated risk factors', 'Abdominal pain (colic) in the horse is one of the most acute problems facing equine practitioners. \nSeveral causes and risk factors are associated with colic. The current study evaluated …')","S Mehdi, V Mohammad - Journal of Equine Veterinary Science, 2006 - Elsevier"
Assessment of the necessity for surgical intervention in cases of equine colic: a retrospective study,"The present study retrospectively examined clinical and clinicopathological findings in horses 
with colic to determine which variables distinguished between medically treatable cases …","('Assessment of the necessity for surgical intervention in cases of equine colic: a retrospective study', 'The present study retrospectively examined clinical and clinicopathological findings in horses \nwith colic to determine which variables distinguished between medically treatable cases …')","BW Parry, CC Gay, GA Anderson - Equine Veterinary Journal, 1983 - Wiley Online Library"
Are horse age and incision length associated with surgical site infection following equine colic surgery?,"It is our clinical impression that age and incision length are more strongly associated with 
surgical site infection (SSI) following colic surgery than skin closure or wound protection …","('Are horse age and incision length associated with surgical site infection following equine colic surgery?', 'It is our clinical impression that age and incision length are more strongly associated with \nsurgical site infection (SSI) following colic surgery than skin closure or wound protection …')","SJM Darnaud, LL Southwood, HW Aceto… - The Veterinary …, 2016 - Elsevier"
"Association of age, sex and breed factors in acute equine colic: a retrospective study of 320 cases admitted to a veterinary teaching hospital in the USA","… Only a few of the many retrospective studies on equine colic … Mortality rates and associated 
factors in equine colic … Study of variables commonly used in examination of equine colic …","('Association of age, sex and breed factors in acute equine colic: a retrospective study of 320 cases admitted to a veterinary teaching hospital in the USA', '… Only a few of the many retrospective studies on equine colic … Mortality rates and associated \nfactors in equine colic … Study of variables commonly used in examination of equine colic …')","MJ Reeves, JM Gay, BJ Hilbert, RS Morris - Preventive Veterinary Medicine, 1989 - Elsevier"
"[HTML][HTML] Prospective survey of veterinary practitioners' primary assessment of equine colic: clinical features, diagnoses, and treatment of 120 cases of large colon …","… Data were collected prospectively from veterinary practitioners on the primary assessment 
of equine colic cases over a 12 month period. Inclusion criteria were a diagnosis of primary …","(""[HTML][HTML] Prospective survey of veterinary practitioners' primary assessment of equine colic: clinical features, diagnoses, and treatment of 120 cases of large colon\xa0…"", '… Data were collected prospectively from veterinary practitioners on the primary assessment \nof equine colic cases over a 12 month period. Inclusion criteria were a diagnosis of primary …')","KM Jennings, L Curtis… - BMC veterinary …, 2014 - bmcvetres.biomedcentral.com"
Interstitial cells of Cajal (ICC) in equine colic: an immunohistochemical study of horses with obstructive disorders of the small and large intestines,"Reasons for performing study: The gastrointestinal pacemaker cells, the interstitial cells of 
Cajal (ICC), have been implicated in several human gastrointestinal dysmotility syndromes. …","('Interstitial cells of Cajal (ICC) in equine colic: an immunohistochemical study of horses with obstructive disorders of the small and large intestines', 'Reasons for performing study: The gastrointestinal pacemaker cells, the interstitial cells of \nCajal (ICC), have been implicated in several human gastrointestinal dysmotility syndromes. …')","C Fintl, NPH Hudson, IG Mayhew… - Equine veterinary …, 2004 - Wiley Online Library"
A multivariable prognostic model for equine colic patients,"A survey of 1965 equine colic cases was conducted from August 1985 to July 1986 ten 
equine referral hospitals located througout the USA Two-thirds of the cases were randomly …","('A multivariable prognostic model for equine colic patients', 'A survey of 1965 equine colic cases was conducted from August 1985 to July 1986 ten \nequine referral hospitals located througout the USA Two-thirds of the cases were randomly …')","MJ Reeves, CR Curtis, MD Salman, JS Reif… - Preventive Veterinary …, 1990 - Elsevier"
[PDF][PDF] Indications for surgical intervention in equine colic,"INDICATIONS FOR SURGICAL INTERVENTION IN EQUINE COLIC … INDICATIONS FOR 
SURGICAL INTERVENTION IN EQUINE COLIC … Table 2: PROGNOSTIC VALUE OF …","('[PDF][PDF] Indications for surgical intervention in equine colic', 'INDICATIONS FOR SURGICAL INTERVENTION IN EQUINE COLIC … INDICATIONS FOR \nSURGICAL INTERVENTION IN EQUINE COLIC … Table 2: PROGNOSTIC VALUE OF\xa0…')","HC Kalsbeek - Journal of the South African Veterinary Association, 1975 - journals.co.za"
Risk factors for equine acute abdominal disease (colic): Results from a multi-center case-control study,"… The specific aim of the study, to examine risk factors for equine colic, was not mentioned. A 
statement that assured confidentiality of all information obtained was also included. Individual …","('Risk factors for equine acute abdominal disease (colic): Results from a multi-center case-control study', '… The specific aim of the study, to examine risk factors for equine colic, was not mentioned. A \nstatement that assured confidentiality of all information obtained was also included. Individual …')","MJ Reeves, MD Salman, G Smith - Preventive Veterinary Medicine, 1996 - Elsevier"
Survival rates and post‐operative complications after equine colic surgery,"Survival rates and postâ•’operative complications after equine colic surgery Page 1 largely 
functional. The raised IgGJIgG, and IgM/IgG, ratios suggest some local transfer of both IgG, …","('Survival rates and post‐operative complications after equine colic surgery', 'Survival rates and postâ•’operative complications after equine colic surgery Page 1 largely \nfunctional. The raised IgGJIgG, and IgM/IgG, ratios suggest some local transfer of both IgG, …')","RN McCarthy, DR Hutchins - Australian Veterinary Journal, 1988 - Wiley Online Library"
Results of operative treatment of equine colic with special reference to surgery of the ileum,"… Study of variables commonly used in examination of equine colic cases … A2 as a prognostic 
variable in equine colic. Proc 2nd … Epizootiology and risk factors in equine colic at University …","('Results of operative treatment of equine colic with special reference to surgery of the ileum', '… Study of variables commonly used in examination of equine colic cases … A2 as a prognostic \nvariable in equine colic. Proc 2nd … Epizootiology and risk factors in equine colic at University …')","AW Kersjes, GE Bras, F Nemeth… - Veterinary …, 1988 - Taylor & Francis"
Equine colic: clinical epidemiology and associated risk factors in and around Debre Zeit,"… clinical epidemiology of equine colic in the Society for … of equine colic, to characterize the 
main types of equine colic, and to determine the major risk factors associated with equine colic. …","('Equine colic: clinical epidemiology and associated risk factors in and around Debre Zeit', '… clinical epidemiology of equine colic in the Society for … of equine colic, to characterize the \nmain types of equine colic, and to determine the major risk factors associated with equine colic. …')","Y Worku, W Wondimagegn, N Aklilu, Z Assefa… - Tropical Animal Health …, 2017 - Springer"
Assessment of costs and insurance policies for referral treatment of equine colic,"Colic is the most common emergency problem in horses. The aims of this study were to 
survey costs of different referral treatments and to review insurance policies relevant to horses …","('Assessment of costs and insurance policies for referral treatment of equine colic', 'Colic is the most common emergency problem in horses. The aims of this study were to \nsurvey costs of different referral treatments and to review insurance policies relevant to horses …')","I Barker, SL Freeman - Veterinary Record, 2019 - Wiley Online Library"
Whole blood re‐calcification time in equine colic,"… monocytes isolated from equine colic patients express more … monocytes isolated from equine 
colic patients expressed more … and determining the prognosis for survival in equine colic. …","('Whole blood re‐calcification time in equine colic', '… monocytes isolated from equine colic patients express more … monocytes isolated from equine \ncolic patients expressed more … and determining the prognosis for survival in equine colic. …')","MM HENRY, JN Moore - Equine veterinary journal, 1991 - Wiley Online Library"
Epidemiology of colic,"… Knowledge of the epidemiology of equine colic affects each … is to review the epidemiology 
of equine colic. Because a … emphasized: risk factors for equine colic and models for predicting …","('Epidemiology of colic', '… Knowledge of the epidemiology of equine colic affects each … is to review the epidemiology \nof equine colic. Because a … emphasized: risk factors for equine colic and models for predicting …')","ND Cohen - Veterinary Clinics of North America: Equine Practice, 1997 - Elsevier"
Risk factors for colic in the Michigan (USA) equine population,"… A population-based prospective epidemiological study was conducted to assess risk factors 
for equine colic. A stratified sample of 3925 equids in 138 randomly selected equine farms …","('Risk factors for colic in the Michigan (USA) equine population', '… A population-based prospective epidemiological study was conducted to assess risk factors \nfor equine colic. A stratified sample of 3925 equids in 138 randomly selected equine farms …')","JB Kaneene, RA Miller, WA Ross, K Gallagher… - Preventive veterinary …, 1997 - Elsevier"
Equine colic associated with sand impaction of the large colon,"In most cases the outcome of impaction of the colon is favourable and with mild purging and 
lubrication, the mass can be broken down and the horse returned to normal health. It is …","('Equine colic associated with sand impaction of the large colon', 'In most cases the outcome of impaction of the colon is favourable and with mild purging and \nlubrication, the mass can be broken down and the horse returned to normal health. It is …')","T Udenberg - The Canadian Veterinary Journal, 1979 - ncbi.nlm.nih.gov"
A Pilot Randomised Clinical Trial Comparing a Short-Term Perioperative Prophylaxis Regimen to a Long-Term Standard Protocol in Equine Colic Surgery,"… An annual incidence of 4.2% was reported for the prevalence of equine colic in the United 
States, including 1.4% of horses which required emergency laparotomy [1]. According to …","('A Pilot Randomised Clinical Trial Comparing a Short-Term Perioperative Prophylaxis Regimen to a Long-Term Standard Protocol in Equine Colic Surgery', '… An annual incidence of 4.2% was reported for the prevalence of equine colic in the United \nStates, including 1.4% of horses which required emergency laparotomy [1]. According to …')","SD Stöckle, DA Kannapin, AML Kauter… - Antibiotics, 2021 - mdpi.com"
The value of arterial blood pressure measurement in assessing the prognosis in equine colic,"… to augment other methods of clinical and laboratory examination in cases of equine colic. … 
measurements of arterial blood pressure in the assessment of the prognosis in equine colic. …","('The value of arterial blood pressure measurement in assessing the prognosis in equine colic', '… to augment other methods of clinical and laboratory examination in cases of equine colic. … \nmeasurements of arterial blood pressure in the assessment of the prognosis in equine colic. …')","CC Gay, J Carter, M McCarthy, TA Mason… - Equine Veterinary …, 1977 - Wiley Online Library"
Developing best practice guidelines on equine colic,"… Colic Project as a basis for developing clinical practice guidelines for equine colic. … decision 
making around the diagnostic approach to equine colic. The project team would welcome …","('Developing best practice guidelines on equine colic', '… Colic Project as a basis for developing clinical practice guidelines for equine colic. … decision \nmaking around the diagnostic approach to equine colic. The project team would welcome …')","SL Freeman, L Curtis - 2015 - Wiley Online Library"
Prognosis in equine medical and surgical colic,"… Several retrospective studies on equine colic already have been published over the past 20 
… variables, in order to provide a better guideline for prognosis-assessment in equine colic. …","('Prognosis in equine medical and surgical colic', '… Several retrospective studies on equine colic already have been published over the past 20 \n… variables, in order to provide a better guideline for prognosis-assessment in equine colic. …')","MA Van der Linden, CM Laffont… - Journal of Veterinary …, 2003 - Wiley Online Library"
Validation of logistic regression models used in the assessment of prognosis and the need for surgery in equine colic patients,"… to evaluate both prognosis and the need for surgery in equine colic patients. The validation 
study prospectively collected 730 equine colic cases at 16 different locations over a 15-…","('Validation of logistic regression models used in the assessment of prognosis and the need for surgery in equine colic patients', '… to evaluate both prognosis and the need for surgery in equine colic patients. The validation \nstudy prospectively collected 730 equine colic cases at 16 different locations over a 15-…')","MJ Reeves, CR Curtis, MD Salman, TS Stashak… - Preventive Veterinary …, 1992 - Elsevier"
Medical treatment of equine colic,"… The aims of medical therapy in equine colic are to relieve pain and to restore normal 
propulsive motility of the gut. These aims need to be accomplished without masking the clinical …","('Medical treatment of equine colic', '… The aims of medical therapy in equine colic are to relieve pain and to restore normal \npropulsive motility of the gut. These aims need to be accomplished without masking the clinical …')","T Mair, B Edwards - In Practice, 1998 - Wiley Online Library"
[BOOK][B] Understanding equine colic: your guide to horse health care and management,"… Although this is certainly an overgeneralization of equine colic episodes, the high 
occurrence of colic and the need for abdominal surgery (colic surgery) in the horse are much …","('[BOOK][B] Understanding equine colic: your guide to horse health care and management', '… Although this is certainly an overgeneralization of equine colic episodes, the high \noccurrence of colic and the need for abdominal surgery (colic surgery) in the horse are much\xa0…')",BG Bentz - 2004 - books.google.com
The creation of an international audit and database of equine colic surgery: Survey of attitudes of surgeons,"… Equine colic surgery is well-suited to being assessed by clinical audit in view of the … In this 
study, the sample consisted of equine colic surgeons drawn from the lists of diplomates of the …","('The creation of an international audit and database of equine colic surgery: Survey of attitudes of surgeons', '… Equine colic surgery is well-suited to being assessed by clinical audit in view of the … In this \nstudy, the sample consisted of equine colic surgeons drawn from the lists of diplomates of the …')","TS Mair, NA White - Equine veterinary journal, 2008 - Wiley Online Library"
Serum and peritoneal fluid phosphate concentrations as predictors of major intestinal injury associated with equine colic.,"To determine the reliability with which inorganic phosphorus (phosphate) concentrations 
can be used to predict major intestinal injury associated with equine colic, phosphate …","('Serum and peritoneal fluid phosphate concentrations as predictors of major intestinal injury associated with equine colic.', 'To determine the reliability with which inorganic phosphorus (phosphate) concentrations \ncan be used to predict major intestinal injury associated with equine colic, phosphate …')","WA Arden, JA Stick - Journal of the American Veterinary Medical …, 1988 - europepmc.org"
Diagnostic and prognostic procedures for equine colic surgery,"Diagnostic methods such as abdominal radiography, endoscopy, laparoscopy, and peritoneal 
fluid analysis can be helpful in the decision-making process, regarding the horse with colic…","('Diagnostic and prognostic procedures for equine colic surgery', 'Diagnostic methods such as abdominal radiography, endoscopy, laparoscopy, and peritoneal \nfluid analysis can be helpful in the decision-making process, regarding the horse with colic…')","AT Fischer Jr - Veterinary Clinics of North America: Equine Practice, 1989 - Elsevier"
Correlation between equine colic and weather changes,"… and temperature changes and equine colic in Thessaloniki, Greece … pathophysiology which 
results in equine colic are not known, … Therefore, in the present study equine colic and its …","('Correlation between equine colic and weather changes', '… and temperature changes and equine colic in Thessaloniki, Greece … pathophysiology which \nresults in equine colic are not known, … Therefore, in the present study equine colic and its …')","N Diakakis, P Tyrnenopoulou - Journal of the …, 2017 - ejournals.epublishing.ekt.gr"
Surgical techniques in equine colic,"Emergency equine abdominal surgery is easiest and most efficiently carried out with a team 
of surgeons. The surgical site should be as protected as possible by the use of sterile …","('Surgical techniques in equine colic', 'Emergency equine abdominal surgery is easiest and most efficiently carried out with a team \nof surgeons. The surgical site should be as protected as possible by the use of sterile …')","C Boles - Journal of the South African Veterinary Association, 1975 - journals.co.za"
Equine colic and coagulation disorders,"The objective of this study was to investigate the coagulation disorders in drought horses 
suffering from colic. A total of (125) local drought male horse of different ages were investigated…","('Equine colic and coagulation disorders', 'The objective of this study was to investigate the coagulation disorders in drought horses \nsuffering from colic. A total of (125) local drought male horse of different ages were investigated…')","K Alsaad, A Al-Farha - 2009 - digital.library.adelaide.edu.au"
[PDF][PDF] Clinical and biochemical studies in equine colic,"Twenty horses suffering from colic were studied tor clinical observations and changes in serum 
electrolytes (Na, K, HCCK Cl) anü PCV. Colic was continued by the rectal palpation. The …","('[PDF][PDF] Clinical and biochemical studies in equine colic', 'Twenty horses suffering from colic were studied tor clinical observations and changes in serum \nelectrolytes (Na, K, HCCK Cl) anü PCV. Colic was continued by the rectal palpation. The …')","MM Ayaz, K Pervaz, MS Khan, SA Khan… - Pakistan Veterinary …, 1999 - pvj.com.pk"
Equine surgical colic: risk factors for postoperative complications,"The reason for undertaking this study was that postoperative complications of colic surgery 
lead to patient discomfort, prolonged hospitalisation and increased cost. Potential risk factors …","('Equine surgical colic: risk factors for postoperative complications', 'The reason for undertaking this study was that postoperative complications of colic surgery \nlead to patient discomfort, prolonged hospitalisation and increased cost. Potential risk factors …')","NP French, J Smith, GB Edwards… - Equine Veterinary …, 2002 - Wiley Online Library"
Equine colic associated with small intestinal epiploic foramen entrapment,"Equine colic associated with small intestinal epiploic foramen entrapment - ScienceDirect … 
Epiploic foramen entrapment is an important diagnosis in equine colic patients. …","('Equine colic associated with small intestinal epiploic foramen entrapment', 'Equine colic associated with small intestinal epiploic foramen entrapment - ScienceDirect … \nEpiploic foramen entrapment is an important diagnosis in equine colic patients. …')","T van Bergen, P Wiemer, A Martens - The Veterinary Journal, 2021 - Elsevier"
Isoflurane anesthesia for equine colic surgery comparison with halothane anesthesia,"… The number of uncontrolled variables in equine colic patients is great. Only large randomized 
prospective trials can answer definitively questions concerning the efficacy and relative …","('Isoflurane anesthesia for equine colic surgery comparison with halothane anesthesia', '… The number of uncontrolled variables in equine colic patients is great. Only large randomized \nprospective trials can answer definitively questions concerning the efficacy and relative …')","RC Harvey, RD Gleed, NS Matthews… - Veterinary …, 1987 - Wiley Online Library"
