,AugmTitle
27,"('[HTML][HTML] Most Common Herbal Medicines in the Treatment of Iranian Children: A Systematic Review', '… Our systematic review showed beneficial effect of Foeniculum Vulgare on redacting of infant \ncolic and also led to significant increase on prolactin levels in lactating mothers. Base on …')"
28,"('[CITATION][C] INFANT COLIC: DESCRIPTIVE STUDY OF MATERNAL CARE PRACTICES FOR PAIN RELIEF', '')"
29,"('[CITATION][C] Infant colic and migraine', '')"
30,"('Management of infantile colic; based on traditional Iranian medicine', '… Before the headache Infant colic as an early … Chiropractic spinal manipulation for infant \ncolic: a systematic review of randomised clinical trials. International journal of clinical practice …')"
31,"(""Infant colic: what works--what doesn't?"", 'Infant colic is a diagnosis of exclusion; its true cause is not known. To rule out alternative \ndiagnoses, obtain a detailed history, look for clues to an underlying organic disease or genetic …')"
32,"('Massage for infantile colic: Review and literature', '… Five studies measured daily hours of crying and these data were combined, suggesting that \nmanipulative therapies had a significant effect on infant colic - reducing average crying time …')"
33,"('Colic', ""… You should consult your doctor if fever, vomiting or constipation accompany the inconsolable \ncrying or, if you are unable to cope with the exhausting effects of your infant's colic. …"")"
34,"('Infantile colic: Is a pain syndrome', '… In: “Infant colic and feeding difficulties” the authors find that the colic group displayed more \ndifficulties with feeding than other infants. There was: “disorganized feeding behaviours, less …')"
35,"('Infant Colic: A Review', '… A response to infant colic known as parent colic is characterized by fatigue, guilt, crying, \ndepression, and resentment of the infant (Thompson, Harris, & Bitowski, 1986). The relationship …')"
36,"('Infant Colic 34', '… This chapter examines the origins and current understanding of infant colic. The evidence \nabout gastrointestinal (GI) disturbance as a cause of colic is reviewed in detail after sum…')"
37,"('Some new and important clues to the causes of colic', ""Colic or persistent unexplained crying in infants is a disorder commonly encountered by health \nprofessionals. Although colic is not detrimental to an infant's health it can place stress on …"")"
38,"('[PDF][PDF] Prevalence of infant colic', ""Colic affected 16% of 843 infants. It was not related to breast or cows' milk feeding. Increased \nprevalence was noted if cereals or solids had been introduced during the first 3 months of …"")"
39,"('Infant colic: family focus', 'Infant colic is characterised by episodes of inconsolable crying in a baby, for which no \napparent reason can be found, usually occuring for more than three hours at a time, three days …')"
40,"('Differential calming responses to sucrose taste in crying infants with and without colic', '… ,3 Whether and, if so, how often this behavioral syndrome of infant colic is attributable to \na pathologic process remains obscure. Organic disease can present as colic syndrome, but …')"
41,"(""THE MOTHER'S DIET CAN INFLUENCE THE COLIC IN BREASTFED BABIES?"", '… Abstract Background: The etiology of infant colic remains unknown. Possible causes of \ncolic are digestive, neurological or psychological. Colic occurs equally in boys and girls. …')"
42,"('[PDF][PDF] Irritable bowel syndrome in children; is there an association with infantile colic in infants', '… Second, both the exposure risk(infant colic)and the outcome(diagnosis of IBS)in this study \nwere measured objectively without the knowledge of each other, thus reducing the concern of …')"
43,"('The relationship between social support and perceived stress in the mothers of infants with colic', 'Background: High stress levels in the parents of infants with colic have negative impacts on \ntheir quality of life. Maternal concerns with infantsâ   needs can be reduced through social …')"
44,"('[PDF][PDF] Do probiotics benefit new-borns and especially colic babies? A clinical opinion of the evidence', '… in the area of probiotics for infant colic. The goal of this … , and an excessively crying baby, \naka infant colic, is a very common … probiotics are more effective for infant colic than placebo. 4 …')"
45,"('Complementary and Alternative Therapies for Infantile Colic: A Systematic Review of the Literature', '… The symptoms of colic (Lower total infant colic scale score determines good colic symptoms, \nhigher score determines bad colic symptoms) of the control group were more severe than …')"
46,"('Probiotics in disease prevention and treatment', '… lies in the prevention or treatment of 5 disorders: necrotizing enterocolitis, acute infectious \ndiarrhea, acute respiratory tract infections, antibiotic-associated diarrhea, and infant colic. …')"
47,"('The consequences of having an excessively crying infant in the family: an integrative literature review', '… Infant colic might propose a risk for mental health and emotional problems, such as anxiety, \nlater in childhood 50, 53. On the other hand, the fact that the child was colicky in infancy …')"
48,"('[CITATION][C] Infantile colic: from symptoms to diagnosis-a practical approach', '')"
49,"('The practices used by mothers to infantile colic and their perceptions on the benefits of the practices', '… A randomized control trial of integrated care for families managing infant colic. Infant \nMent Health J. 2012;33:… “The Gripe”: an integrative approach to infant colic. Explore. 2007;3:417422. …')"
50,"('[CITATION][C] More on infant colic', 'More on infant colic More on infant colic …')"
51,"('Support by a nurse to parents with a colic infant', '… Parent characteristics and conceptualizations associated with the emergence of infant \ncolic. … A comprehensive definition of infant colic: parents and nurses perspective. …')"
52,"('Do probiotics reduce infantile colic?', '… The primary outcome was duration of or number of episodes of infant crying or a diagnosis \nof infant colic (defined as crying or fussing >3 hours per day for three or more days of the …')"
53,"('[PDF][PDF] Infantile Colic', '… Infant colic and maternal depression. Infant Ment Health … Dysbiosis and Role of Probiotics \nin Infant Colic. Arch Clin … Infant Colic: A Meta-analysis. Pediatrics. 2018;141(1): e20171811 …')"
54,"('[CITATION][C] PO32 EFFICACY OF A NEW PARTIALLY HYDROLYZED WHEY FORMULA ON INFANT COLIC: A RANDOMIZED CONTROLLED TRIAL', 'PO32 EFFICACY OF A NEW PARTIALLY HYDROLYZED WHEY FORMULA ON INFANT \nCOLIC: A RANDOMIZED CONTROLLED TRIAL … PO32 EFFICACY OF A NEW PARTIALLY\xa0…')"
55,"('[CITATION][C] Infant Colic Crying and Gastrointestinal Tract–Causes, Consequences and Cure', '')"
56,"('[HTML][HTML] Knowledge, attitudes, and practices of pediatricians on infantile colic in the Middle East and North Africa region', '… Although a wide range of infant colic prevalence (2–73%) has been reported, experts \ngenerally … on the knowledge base and practice trends towards infant colic in the MENA region. …')"
57,"(""The benefits of baby massage: a scheme to improve young children's physical health and psychological development by introducing baby massage is described by\xa0…"", '… The symptoms of infant colic have been described as babies drawing their legs up in discomfort… \nin infant colic? If so, perhaps baby massage could contribute to a reduction in infant colic …')"
58,"('Milk, eggs and peanuts: food allergies in children.', '… Infant colic generally is not caused by a food allergy. In infants, urticaria, eczema or \ngastrointestinal bleeding may be due to foods such as milk and eggs, but clinical tolerance usually …')"
59,"('[PDF][PDF] What is the evidence for chiropractic management of infantile colic?', '… Comparison of the short-term effects of chiropractic spinal manipulation and occipito-sacral \ndecompression in the treatment of infant colic: a single-blinded, randomised, comparison trial…')"
60,"('Infant colic', 'Despite numerous organic theories proposed to play a role in infant colic, none have been \nproven to be causal. The interplay between gut microbiota, gut inflammation and the gut–…')"
61,"('Examination of the effect of BornFree ActiveFlow baby bottles on infant colic', 'Despite its benign, natural course, colic is a significant problem in babies and imparts a \npsychological and physical burden to parents. This study has examined the relief of colic …')"
62,"(""Examination of the effect of Dr. Brown's natural flow baby bottles on infant colic"", '… Parents of 91 colicky infants accessed the Infant Colic Study Web site by typing “infant \ncolic” on any of 1,500 search engines worldwide. On the Web site, infant colic was defined as …')"
63,"(""[HTML][HTML] Infant colic, young children's temperament and sleep in a population based longitudinal cohort study"", '… excessive crying or infant colic increases the … infant colic and children’s sleep across the \nfirst 5 years of life, as far as we know, remains to be studied. As knowledge on how infant colic is …')"
64,"(""Caring for crying babies: A mixed‐methods study to understand factors influencing nurses' and doctors' management of infant colic"", ""… Infant colic, or excessive infant crying of unknown cause, is … Infant colic can be classified by \nWessel's criteria, that is, crying/… of CPGs for managing infant colic, there is anecdotally wide …"")"
65,"('Effectiveness of an intervention for colic', '… The findings support the emerging view of infant colic as a behavioral pattern that is \nresponsive to environmental modification and structured cue-based care. Clin Pediatr. 2006;45:123-…')"
66,"('Efficacy of a partially hydrolysed formula, with reduced lactose content and with Lactobacillus reuteri DSM 17938 in infant colic: A double blind, randomised clinical\xa0…', 'Background & aims We aimed to compare the efficacy of a partially hydrolysed formula (pHF) \nwith reduced lactose content and Lactobacillus reuteri DSM 17938 (L. reuteri) with a …')"
67,"('Does SleepTight work? A behavioral analysis of the effectiveness of SleepTight for the management of infant colic', '… We evaluated the effectiveness of SleepTight in the management of infant colic. SleepTight \nis … not be a viable means of managing infant colic. DESCRIPTORS: infants, infant colic, crying …')"
68,"('[HTML][HTML] Infantile colic', '… Infant colic: empirical evidence of the absence of an association with source of early infant \nnutrition. … A systematic review of treatments for infant colic. Pediatrics. 2000;1061 pt 2:184–90. …')"
69,"('Infantile colic: a review.', '… Infant colic is an extremely common but poorly understood symptom complex, causing great \n… A review of infant colic is presented that focuses on suggested etiologies (eg, hypertonia, …')"
70,"('Of colic and rumbling in the guts', '… Infant colic is a common disorder of doubtful aetiology. The known facts have been \ninterpreted in a historical and geographical context. The apparent increase in incidence of the …')"
71,"('[HTML][HTML] Cultural Practices Regarding the Management of Infant Colic by Women in Limpopo Province, South Africa', '… Infant colic is a self-limiting condition reported in the past decade. It is a syndrome … This \nstudy aimed to explore the understanding of infant colic and the cultural practices regarding its …')"
72,"('[HTML][HTML] Innovative dietary intervention answers to baby colic', '… A systematic review of treatments for infant colic. Pediatrics 2000;106:184-90. 10. … \nImprovement of symptoms in infant colic following reduction of lactose load with lactase. J Hum Nutr …')"
73,"('The effects of contingent music and differential reinforcement on infantile colic', '… A group of 8 infants diagnosed as Infant Colic were included in this study. The dependent \nvariable, crying, was measured through direct observations based on hourly samples involving …')"
74,"('The link between infantile colic and migraine', '… The focus of this review will be on the evidence for an association between infant colic and \n… those who had a history of infant colic. In fact, a history of infant colic was the only statistically …')"
75,"('Focus on infantile colic', '… In recent decades, lactose intolerance due to a relative lactase deficiency has been \nidentified as a possible causative factor in infant colic. The resulting failure to break down all the …')"
76,"('Management of infantile colic: a review', 'Infantile colic is an easily identified childhood entity that has no clear treatment guidelines. \nThe management of infantile colic varies among physicians, and families are often frustrated …')"
77,"('[HTML][HTML] Infant formula', '… Parents often change formulas in response to infant colic. Soy and lactose-free formulas \nare heavily marketed for colic without a formal diagnosis of lactose intolerance. Most colic …')"
78,"('Preventive effects of oral probiotic on infantile colic: a prospective, randomised, blinded, controlled trial using Lactobacillus reuteri DSM 17938', '… The treatment group showed a lower number of paediatric consultations related to episodes \nof infant colic than the control group (P<0.0001). L. reuteri DSM 17938 supplementation at …')"
79,"('Beyond infant colic.', 'Some of the most interesting cases in pediatric practice evolve through time. What may \nbegin as a clear, well defined problem with a predictable natural history and an accepted …')"
80,"('Maternal intake of cruciferous vegetables and other foods and colic symptoms in exclusively breast-fed infants', 'Objective We sought to assess relationships among components of maternal diet and the \npresence of colic symptoms among exclusively breast-fed infants aged ≤4 months. Design …')"
81,"('[PDF][PDF] for managing infant colic: protocol for an individual participant data meta-analysis', '… 17938 is effective for infant colic, and it will … infant colic, and will form the protocol basis for \nfurther IPDMAs involving other probiotic strains for the management or prevention of infant colic…')"
82,"('[HTML][HTML] What Is Chiropractic?', 'Spinal manipulation is not a new or recent concept. Records show that manipulation of the \nspine can be traced back to the time of Hypocrites (1, 2). Since the inception of chiropractic in …')"
83,"(""Characteristics of School‐Age Children Who Had Colic as Infants: Mothers' Views"", '… JamesRoberts et al., 1998; Stifter & Braungart, 1992) suggests that infant colic may undermine \nthe … The few research studies conducted on the behavioral sequelae of infant colic have …')"
84,"('Differences between colic and noncolic infant performance on the B4azelton neonatal behavioral assessment scale', '… Such crying is often referred to as infant colic. Colic often is attributed to gastrointestional \npain and, more recently, the infant "" s immature neurophysiological development, fatigue, and …')"
85,"('Milk Drinking in Pregnancy: Could it Prevent Infant Colic?', 'TABLETS (potassium phenoxymethyl penicillin tablets, USP) INDICATIONS: Thetreatment \nof mild to moderately severe infections due to penicillin G susceptible organisms including …')"
86,"('[CITATION][C] The effectiveness of interventions for infant colic', 'The effectiveness of interventions for infant colic The effectiveness of interventions for infant \ncolic …')"
87,"('Infantile colic: is it a gut issue?', '… protein for the treatment of infant colic syndrome: A randomized trial. Pediatrics 81:756, … \nWeissbluth M, Christoffel KK, Davis AT: Treatment of infant colic with dicyclomine hydrochloride. …')"
88,"('Childhood migraine may be associated with infant colic', 'Children with migraine--with or without aura--are significantly more likely to have had colic \nas infants than children without migraine, according to a case control study conducted in …')"
89,"('Helicobacter pylori and infantile colic', '… In short, the interaction between the host immune factors and the H pylori virulence factors \ndetermines the outcome of H pylori infection (ie, the development of infant colic after the …')"
90,"('Effects of Infant Colic on the Famil Y: Implica Tions for Practice', '… of what processes are associated with infant colic in the family. … situation that occurs when \ninfant colic behaviors present, A … , common problems, such as infant colic, are overlooked, not …')"
91,"('A validity and reliability study investigating the Turkish version of the Infant Colic Scale', ""… Infant Colic Scale is used to diagnose colic and to determine factors that cause colic. This \nstudy aimed to establish the validity and reliability of the Infant Colic … of the Infant Colic Scale's …"")"
92,"('Distress in fathers of babies with infant colic', '… fathers and mothers of infants with infant colic in comparison to control families… infant colic \nexperience more distress than controls? b) do fathers and mothers with babies with infant colic …')"
93,"('Current beliefs and management strategies for treating infant colic', 'Introduction The purpose of this study was to describe the current beliefs about the etiology \nof colic as well as current management approaches used by pediatric health care providers. …')"
94,"('[HTML][HTML] A Pilot Analysis of Early Lactobacillus rhamnosus GG for Infant Colic Prevention', '… study to assess whether LGG prevents infant colic. For the first 6 … supplementation on infant \ncolic may be strain specific. … , pilot analysis on the development of infant colic in this cohort. …')"
95,"('Mylicon drops in the treatment of infant colic.', 'The efficacy of simethicone (available in liquid form as Mylicon Drops) in the treatment of \ninfant colic was assessed in 51 healthy infants between 2 and 12 weeks of age. The open-label …')"
96,"('The therapeutic efficacy of Bifidobacterium animalis subsp. lactis BB‐12® in infant colic: A randomised, double blind, placebo‐controlled trial', '… exclusively breastfed infants with infant colic randomly allocated to receive BB-12 (1 × 10 9 \n… Supplementation with BB-12 is effective in managing infant colic. The effect could derive from …')"
97,"(""Infant colic—a baby's migraine?"", '… determine the cause of infant colic, as inconsolable and … An association between infant colic \nand migraine has been … possible genetic relationship between infant colic and migraine (6). …')"
98,"('Infant colic', 'Why do I include a chapter on infant colic in a book on functional gastrointestinal disorders \nwhen I don’t believe that colic is an abdominal, much less a gastrointestinal, phenomenon? [1…')"
99,"('[PDF][PDF] Gut microbiota dysbiosis and role of probiotics in infant colic', '… probiotics for preventing infant colic, but to our knowledge, no therapeutic studies have \nassessed the effectiveness of this combination as a treatment of infant colic after the onset of the …')"
100,"('Renal disease presenting as severe unremitting colic', '… We hope that by defining a group of infants with very severe colic, and showing that these \ninfants form the risk group for underlying organic disease, the common problem of infant colic …')"
101,"('[PDF][PDF] Lactobacillus reuteri DSM 17938 for managing infant colic: protocol for an individual', '… is effective for infant colic, and determine … infant colic, and will form the protocol basis for \nfurther IPDMAs involving other probiotic strains for the management or prevention of infant colic…')"
102,"('Assessment of Disturbances in Emotion Regulation and Temperament.', '… In this chapter, infant colic, difficult temperament, and toddler … regarding the outcomes for \ninfant colic, difficult temperament, and … Understanding the developmental basis for infant colic, …')"
103,"('Does maternal diet contribute to colic among breastfed infants?', '… Infant colic can be a major source of distress, not only to infants themselves but also to those \ncaring for a persistently fussy, crying baby. Breastfeeding mothers who have a colicky infant …')"
104,"('New Perspective to the Old Problem: Infantile Colic', 'Infantile colic is a condition of excessive crying mostly observed in the evening hours in \nhealthy infants, emerging in the form of attacks and of which etiology has not been explored …')"
105,"('Victim, perpetrator, family, and incident characteristics of 32 infant maltreatment deaths in the United States Air Force', 'Objective: The aim of the present study was to extend the previous number of variables used \nto describe infanticide and identify factors that might be used to prevent infanticide. Method: …')"
106,"('Complementary, holistic, and integrative medicine: colic', '… A small Norwegian crossover RCT examined the analgesic effect of sucrose on infant \ncolic (n=19). (39) Parents gave infants 2 mL of 12% sucrose solution (intervention) or 2 mL of …')"
107,"('[PDF][PDF] Costs of Routine Care for Infant Colic in the UK and Costs of Chiropractic Manual Therapy as a Management Strategy Alongside a RCT for this Condition', '… is effective in the treatment of infant colic. Research from the UK … which is popularly known \nas infant colic in the first 20 weeks … with costs of caring for infant colic from Unit Costs of Health …')"
108,"('Randomised clinical trial: reducing the intake of dietary FODMAP s of breastfeeding mothers is associated with a greater improvement of the symptoms of infantile\xa0…', '… significantly less (<0.05; unpaired t test) compared to infant colic groups, but were not \nsignificantly different between infant colic groups (>0.05; unpaired t test) when comparing mothers …')"
109,"('Intestinal microbiota of infants with colic: development and specific signatures', '… Infant colic, also referred to as excessive crying, affects many … The pathogenesis of infant \ncolic is not well understood, and … also apply to the etiology of infant colic. If so, such deviations …')"
110,"('Infant colic: the effect of serotonin and melatonin circadian rhythms on the intestinal smooth muscle', 'It is hypothesized that in the evening, peak serotonin concentration causes intestinal cramps \nassociated with colic because serotonin increases intestinal smooth muscle contractions. …')"
111,"('[PDF][PDF] Pain-relieving agents for infant colic', '… Colic might represent an early manifestation of food allergy, though studies investigating \na link between infant colic and atopy have been conflicting (Iacono 1991; Heine 2006;\xa0…')"
112,"('[HTML][HTML] The relationship between infant colic and migraine as well as tension-type headache: A meta-analysis', '… Infant colic is a common benign disease during early infancy. Migraine … infant colic in patients \nwith migraine and TTH. e meta-analysis was to assess the relationship between infant colic …')"
113,"('[HTML][HTML] Impact of Lactobacillus reuteri colonization on gut microbiota, inflammation, and crying time in infant colic', '… Infant colic is a distressing condition characterized by crying … The etiology of infant colic is \nunclear and there is no widely … intestinal profile may cause or contribute to infant colic 4,5,6 . …')"
114,"('Infant colic and maternal mental health: nursing research and practice concerns', 'This study compared the mental health of 12 mothers who had infants with colic to 12 mothers \nof infants without colic. Colic was defined as infant fussing/crying of at least 2 hours/day for …')"
115,"('Role of Lactobacillus rhamnosus (FloraActive™) 19070-2 and Lactobacillus reuteri (FloraActive™) 12246 in infant colic: A randomized dietary study', 'Infant colic is a common condition of unknown pathogenesis that brings frustration to families \nseeking for effective management. Accumulating evidence suggests that some single …')"
116,"('Developing a core outcome set for infant colic for primary, secondary and tertiary care settings: a prospective study', 'Objective Infant colic (IC) is defined as recurrent and prolonged crying without an obvious \ncause or evidence of failure to thrive or illness. It is a common problem with a prevalence of 5%…')"
117,"('A real world evaluation of a treatment for infant colic based on the experience and perceptions of 4004 parents', '… Infant colic (IC) is a common condition in young babies seen by primary care health … \nInfant colic (IC) is commonly observed in babies aged under 3 months, and is frequently …')"
118,"('Lactobacillus reuteri DSM 17938 for managing infant colic: protocol for an individual participant data meta-analysis', '… strain used for the management of infant colic, and will form the protocol basis for further \nIPDMAs involving other probiotic strains for the management or prevention of infant colic. …')"
119,"('Comparison of the short-term effects of chiropractic spinal manipulation and occipito-sacral decompression in the treatment of infant colic: a single-blinded\xa0…', '… There are no proven treatments for infant colic … in infant colic.39, 40, 41 However, one study \nfailed to demonstrate any beneficial effect of SMT beyond massage placebo on infant colic. …')"
120,"('The effects of breastfeeding position and the change in nutritional habit on infantile colic: A randomized clinical trial', ""… lower than similar studies, however, the results obtained by adding dietary strategies to the \ndiet resulted in a reduction in restlessness and severity of infant colic according to mothers' …"")"
121,"('[HTML][HTML] Better Choices For Colic', 'Colic is described as a complex of symptoms in early infancy characterized by inconsolable \ncrying that persists for long periods of time, apparent abdominal pain visualized by drawing …')"
122,"('Efficacy of chiropractic in disease treatment: a systematic review.', '… As for other disorders, such as asthma and infant colic, further clinical trials with larger sample \nsizes and high-quality research methodology are required. [ABSTRACT FROM AUTHOR] …')"
123,"('[CITATION][C] Su1161 The Response Rate After Single and Repeated Doses of Nepadutant As Symptomatic Treatment of Infant Colic: the NO-CRY Phase II Clinical\xa0…', '')"
124,"('[PDF][PDF] Prevalence and Associated Factors of Infantile Colic among Omani Babies', 'Infantile colic although is benign and self-limiting condition, it is distressing for both infants \nand care providers. Colicky babies cry from few minutes to hours per day, several days a …')"
125,"('Adverse effects of spinal manipulative therapy in children younger than 3 years: a retrospective study in a chiropractic teaching clinic', '… SMT for the treatment of infant colic, the parents telephoned … SMT for the treatment of infant \ncolic, the mother called the … spine SMT (in treatment of infant colic) stating that they thought …')"
126,"('[PDF][PDF] The Effect of Probiotics Added to Maternal Nutrition on Infantile Colic: A Systematic Review and Meta-analysis', '… Reporting outcome measures in trials of infant colic. J Pediatr Gastroenterol Nutr. 2014;59(3)… \nTreating infant colic with the probiotic Lactobacillus reuteri: double blind, placebo controlled …')"
127,"('[PDF][PDF] Demographic, Maternal and Obstetrical Factors Associated with Infantile Colic', '… Infant colic: evidence of the absence of an association with source of early infant nutrition. \nArch Pediatr Adolesc Med … Prevalence of infant colic. Arch Dis Child 1982; 57 (7): 59-560. 23. …')"
128,"('Colic for Developmentalists. Preliminary Draft.', 'During paroxysms of colic, infants are hypertonic or neurolabile, and appear to be in acute, \nabdominal pain. The infant lets out a high-pitched cry which soon reaches a screaming level, …')"
129,"('[PDF][PDF] Probióticos e prebióticos na cólica infantil: uma revisão sistemática Probiotics and prebiotics in infant colic: a systematic review', '… and prebiotics in management of infant colic. Data source: The … to clinical management in \ninfant colic, showing a reduction in … in the clinical management in infant colic according to the …')"
130,"('Persistent crying as predominant manifestation of sepsis in infants and newborns.', '… This led to a diagnostic delay in two patients who were considered initially to have infant \ncolic. Sepsis should be considered in the differential diagnosis of acute unexplained crying in …')"
131,"('[CITATION][C] Infant Colic and Drugs in Labour', 'Simply purchase your Lancet Choice pass from the Summary or Full Text page of an article \nyou wish to access. This will count as the first of 5 article credits, or ‘Allowances’, and you can …')"
132,"('[CITATION][C] Infant colic: paediatrics', '')"
133,"('Infantile colic: a homoeopathic solution', 'Infantile colic (colic) as a defined medical condition is usually arrived at after other explanations \nfor the symptoms have been excluded. According to at least one report infantile colic …')"
134,"('[PDF][PDF] Ethnopharmacological survey of traditional medicinal plants used for the treatment of infantile colic in Morocco', '… The purposes of the present investigation are to inventory and categorize traditional medicinal \nplants used for healing the infant colic and to document the traditional uses, preparations …')"
135,"('[HTML][HTML] MEDICAL MANAGEMENT OF INFANTILE COLIC WITH SPINAL MANIPULATION: A NARRATIVE REVIEW OF THE EUROPEAN MEDICAL LITERATURE', 'Objective: Strong evidence is found for European medical management of ‘infantile colic’by \nspinal manipulation. This paper identifies and describes this body of evidence. We apply the …')"
136,"('[CITATION][C] Infant colic and excessive crying: Review and suggestions for research', '')"
137,"('[CITATION][C] The development of a model for nursing approach to infant colic', '')"
138,"('[CITATION][C] The effectiveness of interventions for infant colic: technical report', '')"
139,"('[CITATION][C] Costs of routine care for infant colic in the UK and costs of chiropractic manual therapy as a management strategy alongside a RCT for this condition', '')"
140,"('[PDF][PDF] Neonate with Seizures After Consuming Star Anise Tea', '… ABSTRACT Chinese Star Anise (Illicium verum) is a common spice used in many cultures \nas an herbal treatment for infant colic.Often, it has been found to be contaminated with …')"
141,"('Lactobacillus Reuteri DSM 17938 in Infantile Colic: A Systematic Review and Meta-Analysis', '… cramps” OR “abdominal cramp” OR “infant colic”) AND “lactobacillus reuteri” AND (placebo … \nTreating infant colic with the probiotik Lactobacillus reuteri: double blind, placebo controlled …')"
142,"('Prenatal cocaine exposure is associated with variable, small effects on adolescent functioning', '… It is possible that infant colic is an early life manifestation of those genes that later in life \nare … If infant colic is a migraine-related disorder, there are major treatment implications. …')"
